adlink@ava-platform:~$ /bin/python3 /home/adlink/Desktop/rosbag2_py_ana.py
Topic: /localization/pose_estimator/points_aligned, Total Size: 4.40 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/virtual_wall/traffic_light, Total Size: 0.04 MB
Topic: /perception/obstacle_segmentation/single_frame/pointcloud_raw, Total Size: 36.47 MB
Topic: /rosout, Total Size: 0.25 MB
Topic: /perception/object_recognition/detection/pointcloud_map_filtered/pointcloud, Total Size: 14.74 MB
Topic: /diagnostics, Total Size: 4.71 MB
Topic: /lidar1/pointcloud, Total Size: 2583.85 MB
Topic: /sensing/lidar/top/pointcloud_raw, Total Size: 368.44 MB
Topic: /localization/kinematic_state, Total Size: 1.35 MB
Topic: /lidar1/pointcloud_ex, Total Size: 6570.60 MB
Topic: /perception/traffic_light_recognition/traffic_light_classifier/output/debug/image, Total Size: 150.53 MB
Topic: /control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms, Total Size: 0.12 MB
Topic: /perception/traffic_light_recognition/traffic_light_map_based_detector/debug/markers, Total Size: 0.45 MB
Topic: /localization/util/voxel_grid_downsample/pointcloud, Total Size: 4.84 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_velocity_planner/debug/path, Total Size: 16.30 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/externalrequestlanechangeleft, Total Size: 0.00 MB
Topic: /localization/twist_estimator/twist_with_covariance, Total Size: 0.40 MB
Topic: /lidar3/pointcloud_ex, Total Size: 6892.61 MB
Topic: /localization/pose_estimator/initial_pose_with_covariance, Total Size: 0.13 MB
Topic: /clock, Total Size: 0.07 MB
Topic: /lidar4/pointcloud_ex, Total Size: 6290.85 MB
Topic: /localization/pose_estimator/pose_with_covariance, Total Size: 0.08 MB
Topic: /sensing/lidar/top/pointcloud_raw_ex, Total Size: 736.83 MB
Topic: /sensing/imu/tamagawa/imu_raw, Total Size: 0.50 MB
Topic: /events/write_split, Total Size: 0.00 MB
Topic: /sensing/vehicle_velocity_converter/twist_with_covariance, Total Size: 0.40 MB
Topic: /parameter_events, Total Size: 0.23 MB
Topic: /diagnostics_err, Total Size: 5.61 MB
Topic: /localization/pose_estimator/pose, Total Size: 0.02 MB
Topic: /tf, Total Size: 0.23 MB
Topic: /perception/object_recognition/prediction/maneuver, Total Size: 0.01 MB
Topic: /tf_static, Total Size: 0.00 MB
Topic: /localization/twist_estimator/gyro_twist, Total Size: 0.08 MB
Topic: /localization/acceleration, Total Size: 0.67 MB
Topic: /sensing/lidar/concatenated/pointcloud, Total Size: 177.54 MB
Topic: /perception/obstacle_segmentation/crop_box_filter/crop_box_polygon, Total Size: 0.10 MB
Topic: /sensing/gnss/pose, Total Size: 0.01 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/maximum_drivable_area, Total Size: 1.45 MB
Topic: /localization/pose_twist_fusion_filter/biased_pose_with_covariance, Total Size: 0.69 MB
Topic: /sensing/lidar/right/mirror_cropped/pointcloud_ex, Total Size: 0.00 MB
Topic: /localization/util/crop_box_filter_measurement_range/crop_box_polygon, Total Size: 0.09 MB
Topic: /localization/pose_twist_fusion_filter/biased_pose, Total Size: 0.14 MB
Topic: /planning/scenario_planning/lane_driving/motion_planning/obstacle_avoidance_planner/virtual_wall, Total Size: 0.00 MB
Topic: /sensing/lidar/left/mirror_cropped/pointcloud_ex, Total Size: 0.00 MB
Topic: /sensing/lidar/top/mirror_cropped/pointcloud_ex, Total Size: 523.95 MB
Topic: /localization/twist_estimator/twist_with_covariance_raw, Total Size: 0.40 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/bound, Total Size: 1.05 MB
Topic: /planning/mission_planning/route_marker, Total Size: 0.00 MB
Topic: /sensing/lidar/left/outlier_filtered/pointcloud, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/motion_planning/obstacle_avoidance_planner/debug/marker, Total Size: 69.14 MB
Topic: /localization/twist_estimator/gyro_twist_raw, Total Size: 0.08 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lanefollowing, Total Size: 0.00 MB
Topic: /perception/object_recognition/detection/clustering/short_range/pointcloud, Total Size: 14.63 MB
Topic: /perception/traffic_light_recognition/traffic_light_classifier/output/debug/image/compressedDepth, Total Size: 0.00 MB
Topic: /sensing/lidar/left/crop_box_filter_self/crop_box_polygon, Total Size: 0.00 MB
Topic: /planning/scenario_planning/parking/freespace_planner/debug/pose_array, Total Size: 0.00 MB
Topic: /planning/planning_validator/virtual_wall, Total Size: 0.00 MB
Topic: /sensing/lidar/left/crop_box_filter_mirror/crop_box_polygon, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/sideshift, Total Size: 0.00 MB
Topic: /sensing/lidar/top/crop_box_filter_mirror/crop_box_polygon, Total Size: 0.09 MB
Topic: /sensing/lidar/top/self_cropped/pointcloud_ex, Total Size: 528.52 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/avoidance, Total Size: 0.00 MB
Topic: /localization/pose_estimator/monte_carlo_points_aligned, Total Size: 1.13 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/lanechange, Total Size: 0.00 MB
Topic: /planning/scenario_planning/lane_driving/behavior_planning/behavior_path_planner/debug/externalrequestlanechangeright, Total Size: 0.00 MB
Topic: /lidar3/pointcloud, Total Size: 2918.13 MB
Topic: /sensing/gnss/pose_with_covariance, Total Size: 0.02 MB
Topic: /perception/object_recognition/detection/clustering/outlier_filter/pointcloud, Total Size: 3.73 MB
Topic: /perception/object_recognition/detection/clustering/long_range/pointcloud, Total Size: 0.05 MB
Topic: /sensing/lidar/right/crop_box_filter_mirror/crop_box_polygon, Total Size: 0.00 MB
